date,year,month,city,route_id,transport_mode,avg_daily_riders,total_monthly_riders,avg_ticket_price,service_frequency_per_hour,avg_delay_minutes,capacity_utilisation
2022-12-01,2022,12,London,LON-001,Bus,23175,718425,2.31,12.9,10.9,1.08
2023-01-01,2023,1,London,LON-001,Bus,21941,680171,2.25,11.6,16.1,1.06
2023-02-01,2023,2,London,LON-001,Bus,20754,581112,2.33,,12.2,1.31
2023-03-01,2023,3,London,LON-001,Bus,22443,695733,248,12.9,12.8,1.06
2023-04-01,2023,4,London,LON-001,Bus,21824,654720,2.28,12.2,11.2,1.04
2023-05-01,2023,5,London,LON-001,Bus,20518,636058,2.52,11.3,17.4,1.01
2023-06-01,2023,6,london,LON-001,Bus,24877,746310,2.29,12.9,10.3,1.04
2023-07-01,2023,7,London,LON-001,Bus,24604,762724,2.44,13.5,9.9,0.99
2023-08-01,2023,8,London,LON-001,Bus,29459,913229,2.51,14.5,13,1.07
2023-09-01,2023,9,London,LON-001,Bus,26709,801270,2.44,12.8,14.4,1.13
2023-10-01,2023,10,London,LON-001,Bus,20965,649915,2.48,12.9,12.1,0.91
2023-11-01,2023,11,London,LON-001,Bus,18689,560670,2.46,11.6,11.4,0.87
2024-01-01,2024,1,London,LON-001,Bus,19857,615567,2.39,11.9,11.1,0.96
2024-03-01,2024,3,LDN,LON-001,Bus,25015,775465,2.5,13.5,14.5,1
2024-04-01,2024,4,london,LON-001,Bus,26017,780510,2.31,13.3,16.5,1.11
2024-05-01,2024,5,London,LON-001,Bus,29436,912516,2.33,14,10.7,1.15
2024-07-01,2024,7,London,LON-001,Bus,28540,884740,2.46,14.8,11.1,1.06
2024-10-01,2024,10,London,LON-001,Bus,24843,770133,2.45,13.8,13.1,0.95
2024-11-01,2024,11,London,LON-001,Bus,22525,675750,2.43,14.2,11.9,0.91
2024-12-01,2024,12,London,LON-001,Bus,20422,633082,2.5,10.9,13.8,1.07
2025-01-01,2025,1,London,LON-001,Bus,18639,577809,2.35,8.6,12.5,1.15
2025-03-01,2025,3,London,LON-001,Bus,28390,880090,2.49,13.5,10,1.15
2025-04-01,2025,4,London,LON-001,Bus,19673,590190,2.43,11.1,11.4,0.97
2025-05-01,2025,5,London,LON-001,Bus,26261,814091,2.51,14.3,12.6,1.03
2025-06-01,2025,6,London,LON-001,Bus,29818,894540,2.42,14.1,8.9,1.09
2025-07-01,2025,7,London,LON-001,Bus,23512,728872,2.37,13.1,7.8,1.03
2025-08-01,2025,8,London,LON-001,Bus,28774,891994,2.4,15.1,9.3,1.15
2025-10-01,2025,10,london,LON-001,Bus,19233,596223,2.44,13.1,13.6,0.77
2025-12-01,2025,12,London,LON-001,Bus,21915,679365,2.57,13.2,10.6,0.85
2019-01-01,2019,1,London,LON-002,Bus,19172,594332,2.18,9.5,8.2,1.14
2019-02-01,2019,2,London,LON-002,Bus,20522,574616,2.38,13.3,15.4,0.85
2019-03-01,2019,3,London,LON-002,Bus,23902,740962,2.24,12.8,12.4,1.04
2019-04-01,2019,4,London,LON-002,Bus,27396,821880,2.28,13.7,11.1,0.94
2019-05-01,2019,5,London,LON-002,Bus,30605,948755,2.33,16.2,11.1,1.03
2019-06-01,2019,6,London,LON-002,Bus,28397,851910,2.27,14.3,12.7,1.08
2019-07-01,2019,7,London,LON-002,bus,23595,731445,2.09,13.1,12.6,0.98
2019-08-01,2019,8,London,LON-002,Bus,23945,742295,2.18,12.9,11.8,1.04
2019-09-01,2019,9,London,LON-002,Bus,22470,674100,217,11.6,14.3,1.58
2019-10-01,2019,10,London,LON-002,Bus,26367,817377,2.22,13.7,14.1,1.12
2019-11-01,2019,11,London,LON-002,Bus,22309,669270,2.12,14.1,15.2,0.86
2019-12-01,2019,12,London,LON-002,Bus,20384,631904,2.13,11,8.1,1.01
2020-01-01,2020,1,London,LON-002,Bus,20623,639313,2.17,12,12.9,0.93
2020-02-01,2020,2,london,LON-002,Bus,22278,646062,2.24,9.8,11.7,1.15
2020-03-01,2020,3,London,LON-002,Bus,20601,638631,2.33,10.5,12.1,1.06
2020-04-01,2020,4,London,LON-002,Bus,24633,738990,2.08,13,17.4,1
2020-05-01,2020,5,London,LON-002,Bus,23379,724749,2.4,13.3,9.8,0.94
2020-06-01,2020,6,London,LON-002,Bus,27888,836640,2.39,15,15.4,0.97
2020-07-01,2020,7,London,LON-002,Bus,27600,855600,2.17,15,14,1.01
2020-08-01,2020,8,London,LON-002,Bus,34230,1061130,2.34,15.7,13.2,1.15
2020-09-01,2020,9,London,LON-002,Bus,22422,672660,2.16,12.4,7.6,1.08
2020-10-01,2020,10,London,LON-002,Bus,22636,701716,2.2,13.7,12.8,0.96
2020-11-01,2020,11,London,LON-002,Bus,25855,775650,2.36,14.6,14.1,0.94
2020-12-01,2020,12,London,LON-002,Bus,24829,769699,2.28,12.5,16.1,1.15
2021-01-01,2021,1,London,LON-002,Bus,20479,634849,2.22,10.6,13.2,1.03
2021-02-01,2021,2,London,LON-002,Bus,19846,555688,2.18,11.3,11.3,1.02
2021-03-01,2021,3,London,LON-002,Bus,29150,903650,2.3,14.9,10.3,1.1
2021-04-01,2021,4,London,LON-002,Bus,22548,676440,2.21,13,12.2,0.96
2021-05-01,2021,5,London,LON-002,Bus,31967,990977,2.19,15.1,14.3,1.14
2021-06-01,2021,6,London,LON-002,Bus,17737,532110,2.18,12,10,0.91
2021-07-01,2021,7,London,LON-002,Bus,33575,1040825,2.14,16,13.5,1.07
2021-08-01,2021,8,London,LON-002,Bus,25175,780425,2.21,13.2,,1.12
2021-09-01,2021,9,LDN,LON-002,Bus,21026,630780,2.28,12.4,11.9,0.97
2021-10-01,2021,10,London,LON-002,Bus,20016,620496,2.32,10.5,11,1.02
2021-11-01,2021,11,London,LON-002,Bus,16551,496530,2.4,11,8.9,0.93
2021-12-01,2021,12,London,LON-002,Bus,20643,639933,2.25,12,9.8,1.29
2022-01-01,2022,1,London,LON-002,Bus,23934,741954,2.29,13.7,13,1.4
2022-02-01,2022,2,London,LON-002,Bus,24369,682332,2.46,13,16.1,1.01
2022-03-01,2022,3,London,LON-002,Bus,23122,716782,2.21,11.5,9.2,1.09
2022-04-01,2022,4,London,LON-002,Bus,24421,732630,2.34,15.5,8.7,0.96
2022-05-01,2022,5,London,LON-002,Bus,28351,878881,2.31,14.5,13.7,1.34
2022-06-01,2022,6,London,LON-002,Bus,32886,986580,2.3,16.1,10.2,1.1
2022-07-01,2022,7,London,LON-002,Bus,31264,969184,2.29,14.7,11.5,1.15
2022-08-01,2022,8,London,LON-002,Bus,23757,736467,2.33,12.3,17.2,1.09
2022-09-01,2022,9,London,LON-002,bus,20453,613590,2.26,8.3,11.8,1.15
2022-10-01,2022,10,London,LON-002,Bus,18535,574585,2.21,10.7,9.8,0.86
2022-11-01,2022,11,London,LON-002,Bus,27600,828000,2.41,14.7,12.1,1.01
2022-12-01,2022,12,London,LON-002,Bus,26225,812975,2.35,13.9,15.8,1.04
2023-01-01,2023,1,London,LON-002,Bus,19089,591759,230,11.5,14.5,0.9
2023-02-01,2023,2,London,LON-002,Bus,25079,702212,2.19,12.9,11.1,1.07
2023-03-01,2023,3,London,LON-002,Bus,23957,742667,2.23,12.4,12.3,1.12
2023-04-01,2023,4,London,LON-002,Bus,30355,910650,2.37,13.8,9.9,1.15
2023-05-01,2023,5,London,LON-002,Bus,21420,664020,2.27,13.2,,0.88
2023-06-01,2023,6,London,LON-002,Bus,30295,908850,2.29,14.7,8.8,1.09
2023-07-01,2023,7,London,LON-002,Bus,30157,934867,2.37,14.3,16.3,1.14
2023-08-01,2023,8,London,LON-002,Bus,29001,899031,2.51,15.6,14.5,1.02
2023-09-01,2023,9,London,LON-002,Bus,27835,835050,2.55,14.5,11.4,1.07
2023-10-01,2023,10,London,LON-002,Bus,26562,823422,2.4,15.5,11.7,0.94
2023-11-01,2023,11,London,LON-002,Bus,25759,772770,238,14.6,11.6,0.97
2023-12-01,2023,12,London,LON-002,Bus,23870,739970,2.33,12.7,8.6,1.03
2024-01-01,2024,1,London,LON-002,Bus,32500,1007500,2.54,15.2,13.5,1.15
2024-02-01,2024,2,London,LON-002,Bus,17186,498394,2.39,10.8,10.9,0.86
2024-03-01,2024,3,London,LON-002,Bus,23966,742946,2.45,10.8,12.7,1.15
2024-04-01,2024,4,London,LON-002,Bus,29745,892350,2.26,15,13,1.15
2024-05-01,2024,5,London,LON-002,Bus,29348,909788,2.53,16.1,11.5,0.93
2024-06-01,2024,6,London,LON-002,Bus,26527,795810,2.33,12.5,10.9,1.11
2024-07-01,2024,7,London,LON-002,Bus,35116,1088596,2.29,16.4,13.6,1.15
2024-08-01,2024,8,London,LON-002,Bus,21615,670065,2.38,10.9,9.4,1.09
2024-09-01,2024,9,london,LON-002,Bus,26811,804330,2.42,15.7,12.8,0.93
2024-10-01,2024,10,LDN,LON-002,Bus,23485,728035,2.57,13.4,,1.12
2024-11-01,2024,11,London,LON-002,Bus,19799,593970,2.3,11.6,16.1,0.9
2024-12-01,2024,12,London,LON-002,Bus,28361,879191,2.59,14.2,12,1.15
2025-01-01,2025,1,London,LON-002,Bus,17483,541973,2.47,9.9,12.8,1.09
2025-02-01,2025,2,London,LON-002,bus,28848,807744,2.38,13.2,10.6,1.13
2025-03-01,2025,3,London,LON-002,Bus,21243,658533,2.51,11.7,14.4,1.08
2025-04-01,2025,4,London,LON-002,Bus,28389,851670,2.47,,14.1,1.11
2025-05-01,2025,5,LDN,LON-002,Bus,24216,750696,2.35,11.5,14,1.15
2025-06-01,2025,6,London,LON-002,Bus,24343,730290,2.49,12.5,14,1.11
2025-07-01,2025,7,London,LON-002,bus,27125,840875,2.4,13.8,16.5,1.11
2025-08-01,2025,8,London,LON-002,Bus,33454,1037074,2.44,17.8,13,1.15
2025-09-01,2025,9,London,LON-002,Bus,35506,1065180,2.56,16.9,12.1,1.1
2025-10-01,2025,10,London,LON-002,Bus,27736,859816,2.58,13.5,14.6,1.15
2025-11-01,2025,11,London,LON-002,Bus,27968,839040,2.4,15,12,0.94
2025-12-01,2025,12,London,LON-002,Bus,22039,683209,2.45,11,9.3,1
2019-01-01,2019,1,London,LON-003,Bus,14635,453685,2.19,9.5,6.8,0.87
2019-02-01,2019,2,London,LON-003,Bus,13551,379428,2.29,7.2,6,0.98
2019-03-01,2019,3,London,LON-003,Bus,18231,565161,2.15,10.3,9.7,1.04
2019-04-01,2019,4,London,LON-003,Bus,11574,347220,2.18,9.1,7.2,0.7
2019-05-01,2019,5,London,LON-003,Bus,18554,575174,2.19,12.8,5.9,0.91
2019-06-01,2019,6,London,LON-003,Bus,19427,582810,2.38,11.4,7,0.9
2019-07-01,2019,7,London,LON-003,Bus,18423,571113,2.3,10.8,6.6,1.01
2019-08-01,2019,8,London,LON-003,Bus,14546,450926,2.22,9.5,8.7,0.89
2019-09-01,2019,9,London,LON-003,Bus,16913,507390,2.13,10.5,9,0.95
2019-10-01,2019,10,London,LON-003,Bus,17410,539710,2.23,9.2,5.5,1.07
2019-11-01,2019,11,London,LON-003,Bus,15599,467970,2.32,10.1,13.8,0.95
2019-12-01,2019,12,London,LON-003,Bus,12556,389236,2.22,7.8,7,0.81
2020-01-01,2020,1,LDN,LON-003,Bus,11946,370326,2.2,8.1,,0.81
2020-02-01,2020,2,London,LON-003,Bus,16367,474643,2.37,9,11.8,1
2020-03-01,2020,3,London,LON-003,Bus,18083,560573,2.35,10.4,14.7,1.11
2020-04-01,2020,4,London,LON-003,Bus,16311,489330,2.21,7.7,10.3,1.15
2020-05-01,2020,5,London,LON-003,Bus,20461,634291,2.28,12.7,9.6,1.01
2020-06-01,2020,6,London,LON-003,Bus,16594,497820,2.35,8.4,9.6,1.03
2020-07-01,2020,7,London,LON-003,Bus,13240,410440,2.39,8.9,10.3,0.81
2020-08-01,2020,8,London,LON-003,Bus,16798,520738,2.22,8.4,8.9,1.15
2020-09-01,2020,9,London,LON-003,Bus,20510,615300,2.15,,9.7,0.86
2020-10-01,2020,10,London,LON-003,Bus,15420,478020,2.25,7.4,6.5,1.04
2020-11-01,2020,11,London,LON-003,Bus,14121,423630,2.11,9,6.2,0.82
2020-12-01,2020,12,London,LON-003,Bus,13124,406844,2.22,10.1,5.9,0.74
2021-01-01,2021,1,London,LON-003,Bus,13044,404364,2.38,8.4,9.2,0.9
2021-02-01,2021,2,London,LON-003,Bus,13486,377608,2.38,8.7,8.3,0.82
2021-03-01,2021,3,London,LON-003,Bus,15883,492373,2.25,10.5,5.2,0.81
2021-04-01,2021,4,London,LON-003,Bus,13064,391920,2.24,9.7,6.8,0.7
2021-05-01,2021,5,London,LON-003,Bus,18488,573128,2.43,10.2,9.8,1
2021-06-01,2021,6,London,LON-003,Bus,17012,510360,2.31,11.6,9.5,0.85
2021-07-01,2021,7,London,LON-003,Bus,18583,576073,2.32,11.3,10.5,1.04
2021-08-01,2021,8,London,LON-003,Bus,17413,539803,2.4,9.9,11.1,0.9
2021-09-01,2021,9,London,LON-003,Bus,14645,439350,2.28,9,7.9,0.92
2021-10-01,2021,10,London,LON-003,bus,12551,389081,2.34,8.4,10.6,0.8
2021-11-01,2021,11,London,LON-003,Bus,17566,526980,2.33,10.6,9.1,0.96
2021-12-01,2021,12,London,LON-003,Bus,21087,653697,2.3,12.8,9.4,0.83
2022-01-01,2022,1,London,LON-003,Bus,14601,452631,2.5,10.4,11.4,0.82
2022-02-01,2022,2,London,LON-003,Bus,16256,455168,2.36,9.1,7,0.93
2022-03-01,2022,3,London,LON-003,Bus,14502,449562,2.25,10.1,10.8,0.74
2022-04-01,2022,4,LDN,LON-003,Bus,13480,404400,2.32,10.4,8.9,0.7
2022-05-01,2022,5,London,LON-003,Bus,14258,441998,2.42,10.2,11,0.74
2022-06-01,2022,6,London,LON-003,Bus,15249,457470,2.32,10,5.9,0.96
2022-07-01,2022,7,London,LON-003,Bus,18071,560201,2.29,11.7,10.2,0.95
2022-08-01,2022,8,London,LON-003,Bus,21009,651279,2.39,12.5,11.4,0.82
2022-09-01,2022,9,London,LON-003,Bus,16984,509520,2.17,9.5,7.1,0.95
2022-10-01,2022,10,London,LON-003,Bus,19566,606546,220,12.2,6.1,0.84
2022-11-01,2022,11,London,LON-003,Bus,17156,514680,2.22,8.7,8,1.15
2022-12-01,2022,12,london,LON-003,Bus,13655,423305,2.27,9.4,9.2,0.8
2023-01-01,2023,1,London,LON-003,Bus,14381,445811,2.47,7.8,7.6,0.95
2023-02-01,2023,2,London,LON-003,Bus,16320,456960,2.23,10.6,10.6,0.83
2023-03-01,2023,3,London,LON-003,Bus,14537,450647,2.17,10.5,7,0.72
2023-04-01,2023,4,London,LON-003,Bus,17856,535680,2.24,10.5,12,0.94
2023-05-01,2023,5,London,LON-003,bus,16948,525388,2.49,10.4,10.9,0.97
2023-06-01,2023,6,London,LON-003,Bus,20015,600450,2.3,10,8.8,1.13
2023-07-01,2023,7,LDN,LON-003,Bus,15124,468844,2.42,9.3,6.9,0.9
2023-08-01,2023,8,London,LON-003,Bus,20865,646815,240,11.9,6.9,1.03
2023-09-01,2023,9,London,LON-003,Bus,19085,572550,2.23,10,7.4,0.95
2023-10-01,2023,10,London,LON-003,Bus,16252,503812,2.23,11.9,8.8,0.75
2023-11-01,2023,11,London,LON-003,Bus,15814,474420,2.33,9.8,12.4,0.8
2023-12-01,2023,12,London,LON-003,Bus,15885,492435,2.55,9.4,8.2,0.89
2024-01-01,2024,1,London,LON-003,Bus,15257,472967,2.35,9.9,11,0.96
2024-02-01,2024,2,London,LON-003,Bus,19470,564630,2.49,10.9,8.2,0.94
2024-03-01,2024,3,London,LON-003,Bus,18802,582862,2.54,11.1,7.7,0.93
2024-04-01,2024,4,London,LON-003,Bus,14874,446220,2.54,7.8,11.8,1.09
2024-05-01,2024,5,London,LON-003,Bus,14735,456785,2.33,7,6.3,1.15
2024-06-01,2024,6,London,LON-003,Bus,29487,884610,2.36,14.8,7,1.15
2024-07-01,2024,7,London,LON-003,Bus,18311,567641,2.3,9.1,10.5,1.44
2024-08-01,2024,8,London,LON-003,Bus,21103,654193,2.41,11.5,14.4,1.05
2024-09-01,2024,9,London,LON-003,Bus,19887,596610,2.59,11.8,9.3,0.93
2024-10-01,2024,10,LDN,LON-003,Bus,16137,500247,2.36,10.5,11.4,0.88
2024-11-01,2024,11,London,LON-003,Bus,21670,650100,2.49,11.2,9,1.04
2024-12-01,2024,12,London,LON-003,Bus,17325,537075,2.33,10.4,7.8,1.04
2025-01-01,2025,1,london,LON-003,Bus,13871,430001,2.48,8.6,8.5,0.89
2025-02-01,2025,2,London,LON-003,Bus,14631,409668,2.53,8.3,11.3,0.94
2025-03-01,2025,3,London,LON-003,Bus,20908,648148,2.55,8.8,11.7,1.15
2025-04-01,2025,4,London,LON-003,Bus,19132,573960,2.35,11,9.8,1
2025-05-01,2025,5,London,LON-003,Bus,17665,547615,2.51,10.9,11,0.98
2025-06-01,2025,6,London,LON-003,Bus,18276,548280,2.51,10.6,12.6,0.93
2025-07-01,2025,7,London,LON-003,Bus,26884,833404,2.54,14.6,12.9,1.08
2025-08-01,2025,8,london,LON-003,Bus,18768,581808,2.54,10.5,9.5,1.03
2025-09-01,2025,9,London,LON-003,Bus,20622,618660,2.42,9.6,,1.15
2025-10-01,2025,10,London,LON-003,Bus,16131,500061,253,8.8,7.1,1.05
2025-11-01,2025,11,London,LON-003,Bus,12078,362340,2.41,7.5,11.3,0.89
2025-12-01,2025,12,London,LON-003,Bus,16875,523125,2.4,9.3,10.8,1.04
2019-01-01,2019,1,London,LON-004,Tram,12108,375348,2.36,7.6,7.7,0.89
2019-02-01,2019,2,London,LON-004,Tram,16029,448812,2.38,10.7,5.9,0.8
2019-03-01,2019,3,London,LON-004,Tram,17439,540609,2.27,10.9,8.7,0.96
2019-04-01,2019,4,London,LON-004,Tram,20408,612240,2.35,10.6,7.9,1.03
2019-05-01,2019,5,London,LON-004,Tram,14764,457684,2.52,9.6,4.5,0.73
2019-06-01,2019,6,London,LON-004,Tram,16476,494280,250,10,10.8,0.93
2019-07-01,2019,7,London,LON-004,tram,16288,504928,2.54,10,7.9,0.95
2019-08-01,2019,8,London,LON-004,Tram,14138,438278,2.41,8.4,9.3,0.86
2019-09-01,2019,9,London,LON-004,Tram,15034,451020,2.39,7.8,8.5,1.08
2019-10-01,2019,10,London,LON-004,Tram,11299,350269,2.56,9.2,8.1,0.65
2019-11-01,2019,11,London,LON-004,tram,15090,452700,2.4,10.9,3.9,0.75
2019-12-01,2019,12,london,LON-004,Tram,16136,500216,2.33,10.1,9.4,0.88
2020-01-01,2020,1,London,LON-004,Tram,13161,407991,2.26,8.8,6.4,0.8
2020-02-01,2020,2,London,LON-004,Tram,11659,338111,2.57,9.5,9.1,0.71
2020-03-01,2020,3,London,LON-004,Tram,12307,381517,2.61,8.9,6.7,0.85
2020-04-01,2020,4,london,LON-004,Tram,11575,347250,2.59,7.2,9.9,0.85
2020-05-01,2020,5,London,LON-004,Tram,15198,471138,2.48,9.6,,0.96
2020-06-01,2020,6,London,LON-004,Tram,19948,598440,2.48,10.3,10.9,1.15
2020-07-01,2020,7,London,LON-004,Tram,19705,610855,2.36,10,7.1,0.98
2020-08-01,2020,8,London,LON-004,tram,14329,444199,2.3,10.3,10.4,0.76
2020-09-01,2020,9,London,LON-004,Tram,16540,496200,2.55,9.8,8,0.87
2020-10-01,2020,10,London,LON-004,Tram,14290,442990,2.5,8.6,9.2,0.85
2020-11-01,2020,11,London,LON-004,Tram,13171,395130,2.29,8.3,10,0.94
2020-12-01,2020,12,London,LON-004,Tram,14984,464504,2.4,10.6,5.6,0.77
2021-01-01,2021,1,London,LON-004,Tram,14037,435147,2.36,9.3,2.8,0.81
2021-02-01,2021,2,London,LON-004,Tram,13421,375788,2.6,9.4,8.3,0.79
2021-03-01,2021,3,London,LON-004,Tram,10796,334676,2.46,6.1,3.3,0.9
2021-04-01,2021,4,London,LON-004,Tram,15739,472170,2.46,10.8,8.7,0.84
2021-05-01,2021,5,London,LON-004,Tram,16748,519188,2.59,9.4,7.5,0.97
2021-06-01,2021,6,London,LON-004,Tram,21162,634860,2.58,12,9.4,1.01
2021-07-01,2021,7,London,LON-004,Tram,15642,484902,2.71,9.7,10.2,0.91
2021-08-01,2021,8,London,LON-004,Tram,16558,513298,2.37,10.5,6.5,0.87
2021-09-01,2021,9,London,LON-004,Tram,14701,441030,2.72,9,5.3,0.87
2021-10-01,2021,10,London,LON-004,Tram,20689,641359,2.33,11.1,9.6,1.07
2021-11-01,2021,11,London,LON-004,Tram,16833,504990,2.65,11.2,7.6,0.7
2021-12-01,2021,12,London,LON-004,Tram,15380,476780,2.66,9.4,4.9,0.86
2022-01-01,2022,1,London,LON-004,Tram,17286,535866,2.49,10,,0.89
2022-02-01,2022,2,London,LON-004,Tram,12746,356888,2.4,10.2,8.1,0.66
2022-03-01,2022,3,London,LON-004,Tram,16620,515220,2.58,10.4,6.6,0.86
2022-04-01,2022,4,London,LON-004,Tram,18597,557910,2.61,10.5,9.2,1.02
2022-05-01,2022,5,London,LON-004,Tram,13709,424979,2.88,9.6,12.2,0.8
2022-06-01,2022,6,London,LON-004,Tram,15034,451020,2.69,10.1,7.4,0.81
2022-07-01,2022,7,London,LON-004,tram,14380,445780,2.68,8.7,2.2,0.88
2022-08-01,2022,8,London,LON-004,Tram,17577,544887,2.54,10.6,7.4,0.96
2022-09-01,2022,9,London,LON-004,Tram,15669,470070,2.62,9.8,5,0.93
2022-10-01,2022,10,London,LON-004,Tram,14106,437286,2.73,8.5,3.5,0.97
2022-11-01,2022,11,London,LON-004,Tram,14801,444030,2.49,8.7,9.8,0.94
2022-12-01,2022,12,London,LON-004,Tram,12004,372124,2.75,8.9,7.6,0.66
2023-01-01,2023,1,London,LON-004,Tram,14164,439084,2.71,8.5,9.6,0.94
2023-02-01,2023,2,London,LON-004,Tram,11396,319088,2.64,6.8,3.7,1.03
2023-03-01,2023,3,London,LON-004,Tram,19122,592782,2.49,10.1,9.9,0.98
2023-04-01,2023,4,London,LON-004,Tram,21985,659550,2.71,11.6,9.3,1.05
2023-05-01,2023,5,London,LON-004,Tram,20959,649729,2.53,12,11.7,0.85
2023-06-01,2023,6,LDN,LON-004,Tram,23056,691680,2.69,11.6,5.8,1.07
2023-07-01,2023,7,London,LON-004,Tram,13840,429040,2.63,10.3,8.5,0.71
2023-08-01,2023,8,london,LON-004,Tram,17093,529883,2.66,10.3,7,0.89
2023-09-01,2023,9,London,LON-004,Tram,15637,469110,2.64,10.3,6.3,0.92
2023-10-01,2023,10,London,LON-004,Tram,16444,509764,2.58,10.2,8.2,0.83
2023-11-01,2023,11,London,LON-004,Tram,14113,423390,2.74,7.7,7.6,0.98
2023-12-01,2023,12,london,LON-004,Tram,13785,427335,2.64,8.2,11.3,0.99
2024-01-01,2024,1,London,LON-004,Tram,15321,474951,2.74,9.7,7.1,0.87
2024-02-01,2024,2,London,LON-004,Tram,16850,488650,2.76,9.3,9,0.99
2024-03-01,2024,3,London,LON-004,tram,15676,485956,2.7,10.3,11.7,0.91
2024-04-01,2024,4,London,LON-004,Tram,15649,469470,2.73,10.6,6.6,0.78
2024-05-01,2024,5,London,LON-004,Tram,18481,572911,2.52,9.5,8.6,1.07
2024-06-01,2024,6,London,LON-004,Tram,20554,616620,2.58,10.2,11.1,1.13
2024-07-01,2024,7,London,LON-004,Tram,17781,551211,2.71,8.6,9.8,1.15
2024-08-01,2024,8,London,LON-004,tram,19527,605337,3.02,10.3,10,1.24
2024-09-01,2024,9,London,LON-004,Tram,18657,559710,2.94,10.3,7.7,1.12
2024-10-01,2024,10,London,LON-004,Tram,18358,569098,2.57,11,12.8,1
2024-11-01,2024,11,London,LON-004,Tram,17425,522750,2.52,10.2,5.2,0.95
2024-12-01,2024,12,London,LON-004,Tram,17498,542438,2.47,8.7,8,1.03
2025-01-01,2025,1,London,LON-004,Tram,19319,598889,2.64,10,8.1,1.06
2025-02-01,2025,2,London,LON-004,Tram,16679,467012,2.88,10.2,7.4,0.94
2025-03-01,2025,3,London,LON-004,Tram,18064,559984,2.75,8.8,6.9,1.09
2025-04-01,2025,4,London,LON-004,Tram,13390,401700,2.62,8.7,7.5,0.85
2025-05-01,2025,5,London,LON-004,Tram,15073,467263,268,9.7,4.6,1.31
2025-06-01,2025,6,London,LON-004,Tram,24879,746370,2.74,12.1,7.8,1.12
